Code,Key,Value
AI-MODELS_LLAMA31_8B,weight,1.0
AI-MODELS_LLAMA32_3B,weight,0.4
AI-MODELS_PHI35_38B,weight,0.5
AI-MODELS_MISTRAL_7B,weight,0.9
AI-MODELS_QWEN25_7B,weight,0.9
AI-MODELS_GEMMA2_9B,weight,1.2
AI-MODELS_GEMMA3_4B,weight,0.3
AI-MODELS_PHI4_MINI,weight,0.4
AI-MODELS_QWEN3_4B,weight,0.3
AI-MODELS_MISTRAL_SMALL31,weight,1.0
AI-MODELS_DEEPSEEK_R1_8B,weight,0.9
AI-MODELS_LLAMA31_8B,provider,ollama
AI-MODELS_LLAMA32_3B,provider,ollama
AI-MODELS_PHI35_38B,provider,ollama
AI-MODELS_MISTRAL_7B,provider,ollama
AI-MODELS_QWEN25_7B,provider,ollama
AI-MODELS_GEMMA2_9B,provider,ollama
AI-MODELS_GEMMA3_4B,provider,ollama
AI-MODELS_PHI4_MINI,provider,ollama
AI-MODELS_QWEN3_4B,provider,ollama
AI-MODELS_MISTRAL_SMALL31,provider,ollama
AI-MODELS_DEEPSEEK_R1_8B,provider,ollama
AI-MODELS_LLAMA31_8B,ollamaModelName,llama3.1:8b
AI-MODELS_LLAMA32_3B,ollamaModelName,llama3.2:3b
AI-MODELS_PHI35_38B,ollamaModelName,phi3.5:3.8b
AI-MODELS_MISTRAL_7B,ollamaModelName,mistral:7b
AI-MODELS_QWEN25_7B,ollamaModelName,qwen2.5:7b
AI-MODELS_GEMMA2_9B,ollamaModelName,gemma2:9b
AI-MODELS_GEMMA3_4B,ollamaModelName,gemma3:4b
AI-MODELS_PHI4_MINI,ollamaModelName,phi4-mini:3.8b
AI-MODELS_QWEN3_4B,ollamaModelName,qwen3:4b
AI-MODELS_MISTRAL_SMALL31,ollamaModelName,mistral-small3.1:24b
AI-MODELS_DEEPSEEK_R1_8B,ollamaModelName,deepseek-r1:8b
