Code,Name,Description,ParentCode,DisplayOrder
GENDER,Gender,Biological or self-identified gender,,0
GENDER_MALE,Male,,GENDER,1
GENDER_FEMALE,Female,,GENDER,2
GENDER_OTHER,Other,,GENDER,3
STATUS,Status,Record lifecycle status,,0
STATUS_ACTIVE,Active,,STATUS,1
STATUS_INACTIVE,Inactive,,STATUS,2
AI-MODELS,AI Models,Available AI models for the chat assistant,,0
AI-MODELS_LLAMA31_8B,Llama 3.1 8B,llama3.1:8b,AI-MODELS,1
AI-MODELS_LLAMA32_3B,Llama 3.2 3B,llama3.2:3b,AI-MODELS,2
AI-MODELS_PHI35_38B,Phi 3.5 3.8B,phi3.5:3.8b,AI-MODELS,3
AI-MODELS_MISTRAL_7B,Mistral 7B,mistral:7b,AI-MODELS,4
AI-MODELS_QWEN25_7B,Qwen 2.5 7B,qwen2.5:7b,AI-MODELS,5
AI-MODELS_GEMMA2_9B,Gemma 2 9B,gemma2:9b,AI-MODELS,6
